superid,round,game,showScore,initScore,payoff,cumulativePayoff,cPayoffS,WealthLevel,coop,local_rate_coop,degree,happ,harm,gender,age,prac_coop,initHapp,prac_cpayoff,initDegree,initNsize,prev_degree,post_coop_local_coop_harm_rate,country3,yindex,rank,post_coop_local_coop_rate,post_coop_local_harm_rate,n_rewiring_chances,n_size,p_rewiring_chances,cPayoffS2,cumulativePayoffS,cumulativePayoffS2,payoffS,age2
20108,3,201,0,200,300,700,-0.427770442956523,Middle,1,1,6,2,0,male,1,0,0,0,3,10,6,1,US,0.626378148614909,0.333333333333333,1,0,1,10,0.111111111111111,0.18298755186722,0.07,0.0049,0.03,1
20108,4,201,0,200,100,800,-0.487152458936805,Middle,1,0.833333333333333,5,1,0,male,1,0,0,0,3,10,6,0.666666666666667,US,0.702072661408924,0.333333333333333,0.833333333333333,0.166666666666667,1,10,0.111111111111111,0.237317518248175,0.08,0.0064,0.01,1
20108,5,201,0,200,250,1050,-0.417944716681127,Middle,1,1,5,2,0,male,1,0,0,0,3,10,5,1,US,0.653038619814262,0.333333333333333,1,0,1,10,0.111111111111111,0.174677786201667,0.105,0.011025,0.025,1
20108,6,201,0,200,250,1300,-0.295356970339623,Middle,1,1,5,2,0,male,1,0,0,0,3,10,5,1,US,0.568835646580015,0.444444444444444,1,0,1,10,0.111111111111111,0.0872357399282009,0.13,0.0169,0.025,1
20108,7,201,0,200,250,1550,-0.263406678336595,Middle,1,1,6,2,0,male,1,0,0,0,3,10,5,1,US,0.535896345581348,0.444444444444444,1,0,4,10,0.444444444444444,0.0693830781923184,0.155,0.024025,0.025,1
20108,8,201,0,200,300,1850,-0.13152747975502,Middle,1,1,6,2,0,male,1,0,0,0,3,10,6,1,US,0.453039096933957,0.444444444444444,1,0,3,10,0.333333333333333,0.0172994779307072,0.185,0.034225,0.03,1
20108,9,201,0,200,300,2150,-0.0616685923716094,Middle,1,1,6,2,0,male,1,0,0,0,3,10,6,1,US,0.404271883324995,0.444444444444444,1,0,3,10,0.333333333333333,0.00380301528509572,0.215,0.046225,0.03,1
20108,10,201,0,200,300,2450,0.0180866618629591,Middle,1,1,6,2,0,male,1,0,0,0,3,10,6,1,US,0.343646575396222,0.444444444444444,1,0,0,10,0,0.000327127337345019,0.245,0.060025,0.03,1
20108,11,201,0,200,300,2750,0.0690065559342354,Middle,1,1,7,2,0,male,1,0,0,0,3,10,6,1,US,0.304778955376206,0.444444444444444,1,0,3,10,0.333333333333333,0.00476190476190476,0.275,0.075625,0.03,1
20108,12,201,0,200,350,3100,0.144286192472039,Middle,1,1,8,2,0,male,1,0,0,0,3,10,7,1,US,0.277473447061613,0.555555555555556,1,0,3,10,0.333333333333333,0.0208185053380783,0.31,0.0961,0.035,1
20108,13,201,0,200,200,3300,0.102325915443242,Middle,1,0.75,8,0,0,male,1,0,0,0,3,10,8,0.75,US,0.28290106034308,0.555555555555556,0.75,0,0,10,0,0.0104705929712975,0.33,0.1089,0.02,1
20108,14,201,0,200,200,3500,0.0873087164642687,Middle,1,0.75,7,0,0,male,1,0,0,0,3,10,8,0.75,US,0.296849635978513,0.555555555555556,0.75,0,2,10,0.222222222222222,0.00762281197063806,0.35,0.1225,0.02,1
20108,15,201,0,200,350,3850,0.209502568858763,Middle,1,1,7,2,0,male,1,0,0,0,3,10,7,1,US,0.252635450682625,0.611111111111111,1,0,3,10,0.333333333333333,0.0438913263584207,0.385,0.148225,0.035,1
20109,0,201,0,200,NA,200,-0.316227766016838,Middle,NA,NA,5,0,NA,male,13,2,0,100,5,10,NA,NA,US,0.316227766016838,0.444444444444444,NA,NA,0,10,0,0.1,0.02,4e-04,NA,169
20109,1,201,0,200,50,250,-0.580821905236978,Poorer,1,NA,6,1,0,male,13,2,0,100,5,10,5,0.6,US,0.649153894088387,0.277777777777778,0.6,0,1,10,0.111111111111111,0.337354085603113,0.025,0.000625,0.005,169
20109,2,201,0,200,200,450,-0.520781668807881,Poorer,1,0.833333333333333,8,2,0,male,13,2,0,100,5,10,6,0.833333333333333,US,0.671976346848879,0.444444444444444,0.833333333333333,0,2,10,0.222222222222222,0.271213546566321,0.045,0.002025,0.02,169
20109,3,201,0,200,300,750,-0.274995284757765,Middle,1,0.875,7,2,0,male,13,2,0,100,5,10,8,0.875,US,0.534713053695654,0.444444444444444,0.875,0,3,10,0.333333333333333,0.0756224066390043,0.075,0.005625,0.03,169
20109,4,201,0,200,150,900,-0.200592188973978,Middle,1,0.714285714285714,7,1,0,male,13,2,0,100,5,10,7,0.714285714285714,US,0.530136499431229,0.444444444444444,0.714285714285714,0,0,10,0,0.0402372262773721,0.09,0.0081,0.015,169
20109,5,201,0,200,250,1150,-0.156729268755423,Middle,1,0.857142857142857,8,2,0,male,13,2,0,100,5,10,7,0.857142857142857,US,0.496309351058839,0.444444444444444,0.857142857142857,0,2,10,0.222222222222222,0.0245640636846096,0.115,0.013225,0.025,169
20109,6,201,0,200,100,1250,-0.40474844083578,Middle,1,0.625,8,1,0,male,13,2,0,100,5,10,8,0.625,US,0.634470528877709,0.333333333333333,0.625,0,0,10,0,0.163821300358995,0.125,0.015625,0.01,169
20109,7,201,0,200,200,1450,-0.445066456499763,Middle,1,0.75,7,1,0,male,13,2,0,100,5,10,8,0.75,US,0.653975201387408,0.222222222222222,0.75,0,2,10,0.222222222222222,0.198084150701255,0.145,0.021025,0.02,169
20109,8,201,0,200,150,1600,-0.496881590185631,Middle,1,0.714285714285714,7,1,0,male,13,2,0,100,5,10,7,0.714285714285714,US,0.694172809818161,0.222222222222222,0.714285714285714,0,3,10,0.333333333333333,0.246891314665401,0.16,0.0256,0.015,169
20109,9,201,0,200,250,1850,-0.472792541515672,Middle,1,0.857142857142857,7,2,0,male,13,2,0,100,5,10,7,0.857142857142857,US,0.678354516087704,0.222222222222222,0.857142857142857,0,1,10,0.111111111111111,0.223532787312848,0.185,0.034225,0.025,169
20109,10,201,0,200,150,2000,-0.524513194025813,Poorer,1,0.714285714285714,7,1,0,male,13,2,0,100,5,10,7,0.714285714285714,US,0.711408699943057,0.222222222222222,0.714285714285714,0,1,10,0.111111111111111,0.27511409070716,0.2,0.04,0.015,169
20109,11,201,0,200,250,2250,-0.50604807685106,Poorer,1,0.857142857142857,8,2,0,male,13,2,0,100,5,10,7,0.857142857142857,US,0.695816105670207,0.222222222222222,0.857142857142857,0,2,10,0.222222222222222,0.256084656084656,0.225,0.050625,0.025,169
